filename,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
text834,0.462540717,0.042345277,0.100977199,0.026058632,0.146579805,0.055374593,0.035830619,0.052117264,0.048859935,0.029315961
text175,0.460606061,0.051515152,0.042424242,0.027272727,0.084848485,0.066666667,0.045454545,0.115151515,0.042424242,0.063636364
text1016,0.460273973,0.043835616,0.021917808,0.04109589,0.054794521,0.098630137,0.046575342,0.120547945,0.087671233,0.024657534
text1273,0.459546926,0.03236246,0.03236246,0.029126214,0.080906149,0.03236246,0.03236246,0.203883495,0.022653722,0.074433657
text701,0.455621302,0.023668639,0.050295858,0.026627219,0.150887574,0.050295858,0.038461538,0.068047337,0.050295858,0.085798817
text114,0.44549763,0.078199052,0.023696682,0.109004739,0.059241706,0.030805687,0.018957346,0.047393365,0.028436019,0.158767773
text1228,0.442622951,0.049180328,0.038251366,0.038251366,0.06010929,0.043715847,0.087431694,0.076502732,0.027322404,0.136612022
text1283,0.442446043,0.070143885,0.057553957,0.053956835,0.026978417,0.039568345,0.026978417,0.136690647,0.03057554,0.115107914
text1036,0.439759036,0.072289157,0.048192771,0.042168675,0.084337349,0.036144578,0.096385542,0.060240964,0.054216867,0.06626506
text371,0.438746439,0.034188034,0.022792023,0.193732194,0.028490028,0.042735043,0.065527066,0.056980057,0.025641026,0.091168091
text906,0.438247012,0.03187251,0.035856574,0.043824701,0.03187251,0.151394422,0.03187251,0.131474104,0.067729084,0.035856574
text194,0.438223938,0.146718147,0.081081081,0.05984556,0.086872587,0.019305019,0.015444015,0.088803089,0.025096525,0.038610039
text72,0.435897436,0.020242915,0.076923077,0.016194332,0.134952767,0.060728745,0.066126856,0.062078273,0.090418354,0.036437247
text1427,0.435344828,0.030172414,0.021551724,0.025862069,0.209051724,0.049568966,0.017241379,0.030172414,0.036637931,0.144396552
text1078,0.434782609,0.047101449,0.06884058,0.032608696,0.126811594,0.083333333,0.032608696,0.050724638,0.09057971,0.032608696
text104,0.433566434,0.132867133,0.045454545,0.027972028,0.108391608,0.038461538,0.038461538,0.038461538,0.108391608,0.027972028
text286,0.428571429,0.05,0.071428571,0.042857143,0.035714286,0.057142857,0.1,0.071428571,0.071428571,0.071428571
text34,0.428082192,0.184931507,0.02739726,0.071917808,0.044520548,0.061643836,0.034246575,0.051369863,0.061643836,0.034246575
text859,0.427652733,0.077170418,0.122186495,0.028938907,0.090032154,0.025723473,0.032154341,0.051446945,0.073954984,0.07073955
text330,0.421052632,0.041189931,0.018306636,0.201372998,0.04576659,0.022883295,0.016018307,0.025171625,0.022883295,0.185354691
text788,0.419254658,0.046583851,0.040372671,0.01863354,0.062111801,0.034161491,0.108695652,0.031055901,0.052795031,0.186335404
text1320,0.419178082,0.021917808,0.019178082,0.030136986,0.142465753,0.038356164,0.019178082,0.098630137,0.030136986,0.180821918
text1331,0.416666667,0.072072072,0.06981982,0.015765766,0.166666667,0.033783784,0.051801802,0.022522523,0.031531532,0.119369369
text814,0.415584416,0.025974026,0.038961039,0.088311688,0.124675325,0.020779221,0.046753247,0.028571429,0.018181818,0.192207792
text636,0.41509434,0.034591195,0.044025157,0.044025157,0.229559748,0.034591195,0.037735849,0.040880503,0.028301887,0.091194969
text1316,0.410169492,0.030508475,0.020338983,0.023728814,0.047457627,0.033898305,0.027118644,0.250847458,0.037288136,0.118644068
text569,0.409594096,0.033210332,0.051660517,0.029520295,0.228782288,0.073800738,0.022140221,0.055350554,0.055350554,0.040590406
text759,0.408018868,0.025943396,0.035377358,0.018867925,0.04245283,0.04245283,0.240566038,0.08490566,0.025943396,0.075471698
text1101,0.405660377,0.037735849,0.04245283,0.066037736,0.075471698,0.122641509,0.028301887,0.103773585,0.08490566,0.033018868
text1227,0.405286344,0.035242291,0.024229075,0.017621145,0.110132159,0.066079295,0.061674009,0.030837004,0.18061674,0.068281938
text899,0.405172414,0.074712644,0.025862069,0.017241379,0.172413793,0.020114943,0.025862069,0.068965517,0.048850575,0.140804598
text885,0.405144695,0.035369775,0.022508039,0.051446945,0.057877814,0.038585209,0.122186495,0.073954984,0.01607717,0.176848875
text1135,0.402380952,0.373809524,0.019047619,0.042857143,0.026190476,0.035714286,0.04047619,0.014285714,0.021428571,0.023809524
text228,0.401960784,0.039215686,0.075163399,0.035947712,0.140522876,0.029411765,0.045751634,0.091503268,0.052287582,0.088235294
text1108,0.398510242,0.292364991,0.026070764,0.016759777,0.039106145,0.026070764,0.046554935,0.070763501,0.031657356,0.052141527
text1038,0.397183099,0.05915493,0.056338028,0.025352113,0.115492958,0.045070423,0.115492958,0.028169014,0.070422535,0.087323944
text1299,0.394190871,0.024896266,0.070539419,0.012448133,0.131396957,0.060857538,0.022130014,0.165975104,0.091286307,0.026279391
text1410,0.392307692,0.107692308,0.025641026,0.020512821,0.161538462,0.030769231,0.046153846,0.115384615,0.048717949,0.051282051
text163,0.39144385,0.016042781,0.07486631,0.009625668,0.275935829,0.060962567,0.028877005,0.090909091,0.031016043,0.020320856
text1396,0.38700565,0.033898305,0.028248588,0.033898305,0.09039548,0.019774011,0.042372881,0.070621469,0.016949153,0.276836158
text831,0.384364821,0.022801303,0.016286645,0.026058632,0.175895765,0.03257329,0.029315961,0.045602606,0.039087948,0.228013029
text488,0.383050847,0.030508475,0.081355932,0.027118644,0.220338983,0.061016949,0.016949153,0.054237288,0.054237288,0.071186441
text1380,0.381944444,0.101851852,0.020833333,0.041666667,0.071759259,0.032407407,0.027777778,0.032407407,0.048611111,0.240740741
text510,0.380403458,0.121037464,0.034582133,0.023054755,0.109510086,0.074927954,0.123919308,0.028818444,0.040345821,0.063400576
text1348,0.3784219,0.014492754,0.020933977,0.035426731,0.05958132,0.1352657,0.01610306,0.162640902,0.099838969,0.077294686
text100,0.37804878,0.027439024,0.048780488,0.030487805,0.036585366,0.195121951,0.018292683,0.12804878,0.100609756,0.036585366
text1270,0.375338753,0.02303523,0.025745257,0.035230352,0.028455285,0.014905149,0.033875339,0.028455285,0.021680217,0.413279133
text1321,0.373259053,0.033426184,0.033426184,0.025069638,0.030640669,0.027855153,0.04178273,0.311977716,0.08356546,0.038997214
text358,0.372623574,0.068441065,0.041825095,0.041825095,0.129277567,0.152091255,0.060836502,0.060836502,0.038022814,0.034220532
text224,0.364431487,0.093294461,0.058309038,0.040816327,0.064139942,0.04664723,0.055393586,0.104956268,0.12244898,0.049562682
text1308,0.363171355,0.079283887,0.046035806,0.017902813,0.05370844,0.046035806,0.076726343,0.115089514,0.132992327,0.069053708
text847,0.362318841,0.055072464,0.104347826,0.026086957,0.11884058,0.057971014,0.066666667,0.098550725,0.017391304,0.092753623
text126,0.359003398,0.06002265,0.064552661,0.022650057,0.13590034,0.026047565,0.08380521,0.139297848,0.036240091,0.072480181
text285,0.358778626,0.196564885,0.08778626,0.061068702,0.02480916,0.059160305,0.066793893,0.032442748,0.030534351,0.082061069
text493,0.353982301,0.150442478,0.053097345,0.07079646,0.048672566,0.048672566,0.101769912,0.030973451,0.110619469,0.030973451
text1278,0.353773585,0.021226415,0.014150943,0.063679245,0.030660377,0.030660377,0.047169811,0.035377358,0.035377358,0.367924528
text1168,0.35326087,0.244565217,0.027173913,0.070652174,0.027173913,0.065217391,0.048913043,0.043478261,0.081521739,0.038043478
text144,0.352331606,0.051813472,0.067357513,0.067357513,0.07253886,0.134715026,0.03626943,0.07253886,0.103626943,0.041450777
text1309,0.351674641,0.019138756,0.0215311,0.033492823,0.088516746,0.038277512,0.0215311,0.253588517,0.050239234,0.122009569
text170,0.350490196,0.240196078,0.024509804,0.06127451,0.071078431,0.039215686,0.034313725,0.066176471,0.051470588,0.06127451
text14,0.346153846,0.067873303,0.040723982,0.018099548,0.058823529,0.031674208,0.088235294,0.251131222,0.076923077,0.020361991
text1426,0.343358396,0.042606516,0.030075188,0.030075188,0.022556391,0.087719298,0.035087719,0.308270677,0.035087719,0.065162907
text1046,0.343137255,0.258169935,0.062091503,0.019607843,0.068627451,0.029411765,0.062091503,0.062091503,0.068627451,0.026143791
text1172,0.34083045,0.053633218,0.01384083,0.119377163,0.03633218,0.025951557,0.015570934,0.032871972,0.022491349,0.339100346
text1282,0.340425532,0.025531915,0.046808511,0.036170213,0.055319149,0.053191489,0.034042553,0.191489362,0.017021277,0.2
text1286,0.337142857,0.04,0.051428571,0.028571429,0.034285714,0.085714286,0.057142857,0.257142857,0.034285714,0.074285714
text33,0.334963325,0.303178484,0.02200489,0.024449878,0.046454768,0.02200489,0.041564792,0.112469438,0.046454768,0.046454768
text1301,0.332369942,0.104046243,0.046242775,0.069364162,0.026011561,0.049132948,0.144508671,0.104046243,0.078034682,0.046242775
text951,0.331753555,0.139810427,0.042654028,0.063981043,0.018957346,0.018957346,0.021327014,0.127962085,0.04028436,0.194312796
text141,0.329787234,0.138297872,0.053191489,0.085106383,0.069148936,0.037234043,0.063829787,0.074468085,0.090425532,0.058510638
text426,0.329479769,0.179190751,0.075144509,0.046242775,0.046242775,0.034682081,0.046242775,0.10982659,0.034682081,0.098265896
text686,0.326860841,0.038834951,0.077669903,0.035598706,0.100323625,0.165048544,0.087378641,0.077669903,0.035598706,0.055016181
text106,0.32642487,0.31865285,0.023316062,0.054404145,0.069948187,0.028497409,0.023316062,0.062176166,0.075129534,0.018134715
text1318,0.323636364,0.04,0.025454545,0.047272727,0.036363636,0.025454545,0.032727273,0.08,0.043636364,0.345454545
text1187,0.321759259,0.050925926,0.252314815,0.018518519,0.069444444,0.048611111,0.034722222,0.099537037,0.048611111,0.055555556
text339,0.319444444,0.253472222,0.059027778,0.027777778,0.069444444,0.072916667,0.048611111,0.059027778,0.055555556,0.034722222
text120,0.318181818,0.048701299,0.042207792,0.019480519,0.237012987,0.051948052,0.146103896,0.068181818,0.038961039,0.029220779
text312,0.314685315,0.062937063,0.034965035,0.027972028,0.195804196,0.101398601,0.031468531,0.052447552,0.132867133,0.045454545
